food_name,serving_size,calories,protein,fat,carbohydrates,sugar,dietary_fiber,saturated_fat,trans_fat,natrium
국밥_돼지머리,100g,137,6.7,5.16,15.94,0.16,0.7,1.47,0.03,594
국밥_순대국밥,100g,75,3.17,2.28,10.38,0.17,1.3,1.26,0.01,221
국밥_콩나물,100g,52,1.45,0.24,10.93,0,1.2,0.12,0,516
기장밥,100g,166,3.44,0.57,36.77,0,1.5,0.08,0,182
김밥,100g,140,4.84,4.55,19.98,0,1.4,1.1,0.02,245
김밥_김치,100g,130,4.3,4.03,19.17,0.29,1.8,1.06,0.02,188
김밥_날치알,100g,177,6.1,4.26,28.66,1.43,2.1,1.2,0.03,440
김밥_돈가스,100g,202,5.77,5.81,31.64,1.33,2.1,1.07,0.04,493
김밥_소고기,100g,179,6.46,5.56,25.78,0.03,1.5,1.6,0.17,781
김밥_참치,100g,174,7,7.22,20.26,0.71,1.8,1.4,0.04,277
김밥_채소,100g,158,4.6,3.65,26.65,0.14,3.4,0.99,0.02,186
김밥_치즈,100g,177,6.24,7.03,22.1,0.21,2.6,2.43,0.13,386
김밥_풋고추,100g,169,4.88,4.41,27.52,0.09,3.3,1.24,0.03,255
덮밥_낙지,100g,150,5.88,3.34,24.12,2.16,2.3,0.37,0.01,317
덮밥_닭고기,100g,125,11.4,2.18,14.82,1.07,1.1,0.79,0.01,275
덮밥_돼지고기(제육),100g,202,9.43,10.77,16.86,1.98,1.4,3.42,0.05,650
덮밥_불고기,100g,182,6.6,5.31,26.96,0.07,2.8,1.4,0.24,380
덮밥_오징어,100g,135,7.18,2.01,21.94,0.66,2.6,0.24,0,51
보리밥,100g,161,2.9,0.24,36.77,2.57,2.4,0.1,0,65
볶음밥,100g,183,5.56,2.76,33.97,0,1.7,1.1,0.03,60
볶음밥_계란,100g,225,6.62,11.28,24.23,0.17,1.8,2.2,0.05,72
볶음밥_김치,100g,167,5.32,9.18,15.74,13.89,2.8,1.43,0.04,110
볶음밥_새우,100g,172,6.31,6.14,22.85,0.71,1.6,1.19,0.03,85
볶음밥_소고기,100g,176,7.59,6.48,21.76,0.08,2.1,1.47,0.07,13
볶음밥_참치,100g,180,4.62,3.27,32.9,0.12,1.6,0.49,0.02,25
볶음밥_채소,100g,182,4.72,5.39,28.74,0.29,2.3,0.84,0.02,363
볶음밥_표고버섯,100g,184,3.36,4.81,31.79,0,2.6,0.5,0.02,214
비빔밥,100g,142,6.86,4.32,18.84,0.05,2.0,0.95,0.06,733
비빔밥_돌솥,100g,147,5.39,2.95,24.68,1.24,2.4,0.33,0.01,584
비빔밥_육회,100g,147,6.39,3.36,22.92,4.45,2.6,0.77,0.01,400
삼각김밥_참치마요네즈,100g,199,5.93,8.21,25.45,0,2.8,1,0.03,492
수수밥,100g,161,3.16,0.92,35.02,0.08,1.1,0.13,0,570
알밥,100g,128,4.73,5.11,15.75,2.3,3.5,0.59,0.03,250
영양돌솥밥,100g,184,3.43,2.87,36.06,0.63,2.1,0.61,0.01,780
오므라이스,100g,173,6.5,7.23,20.54,3.19,2.4,1.38,0.02,13
자장밥,100g,122,4.27,4.72,15.57,0.03,2.1,0.58,0.01,220
잡곡밥,100g,146,5.3,0.87,29.33,0.32,6.1,0.22,0,0
잡채밥,100g,150,4.02,3.42,25.79,0.05,3.0,0.41,0.05,375
주먹밥_소고기,100g,178,4.76,2.18,34.73,0.23,1.5,0.65,0.02,722
짬뽕밥,100g,72,3.2,1.4,11.65,1.34,1.4,0.23,0.01,510
차조밥,100g,157,2.84,0.65,34.86,0.04,1.8,0.14,0,462
찰밥,100g,153,4.39,0.18,33.56,0.49,2.9,0.08,0,775
초밥_모듬,100g,160,9.66,1.59,26.72,1.4,2.0,0.41,0.02,825
초밥_유부초밥,100g,194,5.78,5.77,29.82,1.99,2.6,0.69,0.02,277
카레라이스,100g,108,3.11,1.4,20.74,0.16,0.5,0.44,0.04,331
콩나물밥,100g,123,4.68,1.58,22.39,0.04,1.9,0.42,0.01,251
콩밥_검정콩,100g,165,4.53,1.12,34.3,0,1.1,0.14,0,317
콩밥_완두콩,100g,138,2.95,0.16,31.25,0,1.9,0.1,0,359
하이라이스,100g,112,4.02,1.13,21.34,0,0.9,0.13,0,218
현미밥,100g,172,3.1,0.47,38.9,0,2.0,0.18,0,375
회덮밥_모듬,100g,145,9.1,4.15,17.76,3.07,1.2,0.85,0.03,33
가래떡,100g,195,3.92,0.51,43.73,0,0.6,0.19,0,150
